iteration,mean_reward,actor_loss,critic_loss,entropy,fill_rate
221,-1373.3657,-0.0009385827748525528,49315.747416834674,11.304133261403729,7.0479155
84,-1260.2561,-0.0002888690740350754,45942.03751890121,11.433310770219371,8.6184025
222,-1373.3657,-0.0004345754446882394,17067.67818327873,11.38802566066865,3.2283962
85,-1260.2561,8.64815853175617e-05,22992.675466229837,11.490991500116163,3.8453221
223,-1371.4573,-0.0011820569559330902,23938.671528477822,11.470179319381714,7.5483503
86,-1317.8857,-0.0007442223629163157,20648.58353547127,11.49328963987289,8.827477
224,-1371.4573,0.00023468697984372415,39202.06517767137,11.476757018796858,2.95586
87,-1317.8857,-0.0002984465250084477,49346.385395665326,11.52669681272199,4.1351795
225,-1314.6112,-0.0014473293802791064,9458.649445564517,11.39606192804152,7.132429
88,-1314.5453,-0.00020682918388516673,12946.770775579636,11.613800094973657,8.3866005
226,-1342.0188,-8.456170138332152e-05,38286.20600743448,11.350340843200684,7.8504267
89,-1333.6215,-0.0017980648309833581,36379.21605657762,11.706878254490514,8.99232
227,-1342.0188,-0.0006218234062074653,25438.269909274193,11.424480599741782,2.5776148
90,-1333.6215,-0.0006098049888086896,34843.42732484879,11.75504090709071,4.1952667
228,-1341.7706,0.00032189936046638797,13804.260395665322,11.455874127726402,7.6522293
91,-1366.6555,0.000200639538947613,13120.238407258064,11.815636019552908,8.181506
229,-1341.7706,-0.0006381660744908356,53408.289030997985,11.42146388946041,1.535362
92,-1333.9248,0.00012857137968943965,49321.7894405242,11.841877775807534,10.300255
230,-1359.3722,0.0003076419234275818,14161.196619833669,11.457426240367274,7.7365932
93,-1333.9248,-0.00010906429510683782,20819.4168031754,11.876868709441155,3.3387601
231,-1313.7479,-0.00045699875561460373,27254.98306766633,11.461960123431298,7.105398
94,-1332.9996,0.0004501835473122135,26878.226688508064,11.902534807882,8.087837
232,-1313.7479,-0.0009646039576299729,37251.19572202621,11.460783550816197,2.9189348
95,-1332.9996,-0.00014303609608642517,43059.31820186492,11.940891934979346,5.191559
233,-1330.7848,-0.00019582819884582874,8966.321663148941,11.439220951449487,7.4435115
96,-1300.4124,-0.0011918283022579648,12010.41271578881,11.983845764590848,7.7302694
234,-1335.0089,-0.0004093610050697481,39467.10496471774,11.490631418843423,8.335888
97,-1397.4521,-0.0005583077210993056,42364.49177797379,12.006256703407534,7.8961315
235,-1335.0089,-0.0014143197632004176,21557.411558089716,11.495494142655403,2.4973392
98,-1397.4521,-0.0011747794436110604,28611.516475554436,11.975791885006812,3.692633
236,-1366.2908,7.09537566909867e-05,16730.165692729333,11.52150676327367,7.672578
99,-1359.5916,5.87586734083391e-05,15023.690217048892,11.956790654889998,8.551847
237,-1366.2908,-0.0011664036466109177,47291.158108618954,11.506757236296131,3.2540262
